People's Republic of China (CN),0,,buyer country,,,"Hong Kong, Macao and Taiwan investment enterprises",0,,Sino-foreign joint venture,0,,Seller Category C,,,,,Foreign-owned,Domestic-funded enterprises,Joint venture,Hong Kong and Taiwan investment companies,,,,,Seller ownership,,,,,,Intellectual Property A,,,,,Domestic patent,technical secrets,No intellectual property rights,,Technical Services,0,Contract type A,,,,,technology development,Consulting and services,technology transfer,intellectual property transactions,,Installment payment,1,,payment method,,,Seller name,,,Seller name,,,Buyer name,,,Buyer name,,,"Hong Kong, Macao and Taiwan investment enterprises",1,,Buyer Category B,,,buyer country,,,buyer country,,,Seller Category C,,,Seller Category C,,,Seller ownership,,,Seller ownership,,,Intellectual Property A,,,Intellectual Property A,,,Contract type A,,,Contract type A,,,payment method,,,payment method,
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Soufun Network Technology Co., Ltd.",20,,"Beijing Wanshitong Technology Co., Ltd.",2,,"Beijing Derun Industry and Trade Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,Harbin Bank,1,,"Huatai Property Insurance Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Foreign companies,0,,,,1,0,0,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,One time payment,0,,,,,"Beijing Bosike Space Information Technology Co., Ltd.",7,,"China Construction Bank Co., Ltd. Hebei Branch",1,,"Tianjin Zhongke Remote Sensing Information Technology Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Foreign companies,2,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,Anhui Rural Credit Cooperatives United Cooperative,1,,"Agricultural Bank of China Co., Ltd. Xiamen Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"China Reinsurance (Group) Co., Ltd.",1,,"Guangdong Development Bank Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"China Construction Bank Co., Ltd. Fujian Branch",1,,Shanghai Rural Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,One time payment,0,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Agricultural Bank of China Co., Ltd. Jiangxi Branch",1,,"Bank of Ningbo Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Agricultural Bank of China Co., Ltd. Shaanxi Provincial Branch",1,,"China Construction Bank Co., Ltd. Beijing Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Brocade Information Industry (Shenzhen) Co., Ltd.",2,,Bank of China Limited,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Sanya Haohai Real Estate Consulting Service Co., Ltd.",2,,"Beijing Zhikong Meixin Information Technology Co., Ltd.",2,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,Jinhua Commercial Bank,1,,"Bank of China Co., Ltd. Beijing Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,Agricultural Bank of China Guizhou Branch,1,,Beijing Rural Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,Bank of Tianjin,1,,"Bank of China Limited, Macau Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Jiangsu Jiangnan Rural Commercial Bank Co., Ltd.",1,,"Quanzhou Commercial Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Zigong Commercial Bank Co., Ltd.",1,,Agricultural Bank of China Shenzhen Branch,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,Fujian Federation of Rural Credit Cooperatives,1,,"Deyang Commercial Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Shenzhen Normal University Electronics Co., Ltd.",1,,Weihai Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,Zhejiang Xiaoshan Rural Cooperative Bank,1,,"Business Department, Head Office of China CITIC Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,"Beijing Maitian Real Estate Brokerage Co., Ltd.",2,,"Bank of China Co., Ltd. Beijing Branch",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,Guangxi Beibu Gulf Bank,1,,Huishang Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Beijing Century Fortune Real Estate Brokerage Co., Ltd.",2,,"Bank of Shanghai Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,technology development,2,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,"Foreign Investment Co., Ltd.",0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,0,,,,0,1,0,,,,technology development,1,,,,1,0,0,1,,,,,One time payment,0,,,,,"Beijing Telit Technology Development Co., Ltd.",22,,"Yuxin Data Technology Co., Ltd.",2,,Shanghai Rural Commercial Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,"Foreign Investment Co., Ltd.",3,,,,,"Information transmission, computer services and software industry",1,,,,,technical secrets,3,,,,,technology development,2,,,,,One time payment,2
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,1,,,,0,0,1,,,,Technical Services,0,,,,0,1,0,0,,,,,Installment payment,1,,,,,"Beijing Yuxin Yicheng Technology Co., Ltd.",2,,"Beijing Gaowida Software Technology Co., Ltd.",2,,China Everbright Bank,1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,No intellectual property rights involved,2,,,,,Technical Services,1,,,,,Installment payment,1
,,,People's Republic of China (CN),0,,,,,,,,Sino-foreign joint venture,0,,,,0,0,1,0,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,0,,,,1,0,0,,,,technology development,1,,,,1,0,0,1,,,,,Installment payment,1,,,,,"Beijing Kelan Software System Co., Ltd. bjh",1,,Agricultural Bank of China Tibet Autonomous Region Branch,1,,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",1,,,,,Domestic-funded enterprises,4,,,,,People's Republic of China (CN),0,,,,,Sino-foreign joint venture,1,,,,,"Information transmission, computer services and software industry",1,,,,,computer software,1,,,,,technology development,2,,,,,Installment payment,1
