name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,Turnover,money,installment,paystyle,payment method
"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),1,239038.92,239038.92,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,240000,240000,1,1,Installment payment
Huishang Bank,Anhui Province,1,People's Republic of China (CN),1,240000,240000,0,2,One time payment
Huishang Bank,Anhui Province,1,People's Republic of China (CN),1,240000,240000,1,1,Installment payment
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",Liaoning Province,1,People's Republic of China (CN),1,240000,240000,1,1,Installment payment
Yunnan Rural Credit Cooperative Science and Technology Settlement Center,Yunnan Province,1,People's Republic of China (CN),1,240000,240000,1,1,Installment payment
"CapitaLand Commercial Real Estate Management Consulting (Shanghai) Co., Ltd. Beijing Branch",Beijing,0,People's Republic of China (CN),1,240000,240000,1,1,Installment payment
"Beijing Zhikong Meixin Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,243000,243000,1,1,Installment payment
"China Oriental Performing Arts Group Co., Ltd.",Beijing,0,People's Republic of China (CN),1,243200,243200,1,1,Installment payment
"Bank of Communications Co., Ltd. Hong Kong Branch",Hong Kong Special Administrative Region,1,People's Republic of China (CN),1,243788,243788,1,1,Installment payment
"Beijing Feitong Furniture Co., Ltd.",Beijing,0,People's Republic of China (CN),1,244000,244000,1,1,Installment payment
"Beijing Guoyuan Xintiandi Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,244016,244016,0,2,One time payment
Tianjin Commercial Bank,Tianjin City,1,People's Republic of China (CN),1,248000,248000,1,1,Installment payment
Heilongjiang Federation of Rural Credit Cooperatives,Heilongjiang Province,1,People's Republic of China (CN),1,248000,248000,1,1,Installment payment
"Zhangjiakou Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
"Harbin Bank Co., Ltd.",Heilongjiang Province,1,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
"Nanchong Commercial Bank Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
HSBC Bank,Beijing,1,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
Kunshan Rural Commercial Bank,Jiangsu Province,1,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
"Century New Information Technology (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
"Philips (China) Investment Co., Ltd.",Beijing,0,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
"Nanchang Commercial Bank Co., Ltd.",Jiangxi Province,1,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
"China Construction Bank Co., Ltd. Henan Branch",Henan Province,1,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
"Tianjin Fangwei Information System Engineering Technology Co., Ltd.",Tianjin City,0,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
Shangrao Bank,Jiangxi Province,1,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
"Bank of Suzhou Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
Shenyang Federation of Trade Unions Finance Department,Liaoning Province,0,People's Republic of China (CN),1,250000,250000,1,1,Installment payment
"Xiamen Southeast Rongtong System Engineering Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,250800,250800,1,1,Installment payment
"Agricultural Bank of China Co., Ltd. Liaoning Provincial Branch",Liaoning Province,1,People's Republic of China (CN),1,251437.33,251437.33,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,253000,253000,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,253000,253000,1,1,Installment payment
Agricultural Bank of China Yunnan Branch,Yunnan Province,1,People's Republic of China (CN),1,257974.64,257974.64,1,1,Installment payment
"Bank of Shanghai Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,260000,260000,1,1,Installment payment
"Bank of Shanghai Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,260000,260000,1,1,Installment payment
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,260000,260000,1,1,Installment payment
"Bank of China Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,260000,260000,1,1,Installment payment
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",Liaoning Province,1,People's Republic of China (CN),1,260000,260000,1,1,Installment payment
Zhejiang Tailong Commercial Bank,Zhejiang Province,1,People's Republic of China (CN),1,260000,260000,1,1,Installment payment
"Industrial Bank Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,260000,260000,1,1,Installment payment
Shenzhen Rural Commercial Bank,Guangdong Province,1,People's Republic of China (CN),1,260000,260000,1,1,Installment payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,264000,264000,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,264000,264000,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,264000,264000,1,1,Installment payment
"Taizhou Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,265000,265000,1,1,Installment payment
Ningbo Yinzhou Rural Cooperative Bank,Zhejiang Province,1,People's Republic of China (CN),1,266000,266000,1,1,Installment payment
"Beijing Happy Travel Business Service Co., Ltd.",Beijing,0,People's Republic of China (CN),1,268000,268000,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
"Bank of Shanghai Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
Shanghai Rural Commercial Bank,Shanghai,1,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
"Zhangjiakou Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
Guiyang Commercial Bank,Guizhou Province,1,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
Jiangsu Federation of Rural Credit Cooperatives,Jiangsu Province,1,People's Republic of China (CN),1,270000,270000,0,2,One time payment
"Hangzhou Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
"Jinshang Bank Co., Ltd.",Shanxi Province,1,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
"Fujian Shitong Information Industry Development Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,270000,270000,1,1,Installment payment
"Lanzhou Bank Co., Ltd.",Gansu province,1,People's Republic of China (CN),1,274500,274500,1,1,Installment payment
Bank of Communications,Shanghai,1,People's Republic of China (CN),1,275000,275000,0,2,One time payment
China Construction Bank Corporation,Beijing,1,People's Republic of China (CN),1,276000,276000,0,2,One time payment
"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),1,278302.5,278302.5,1,1,Installment payment
Huishang Bank,Anhui Province,1,People's Republic of China (CN),1,280000,280000,1,1,Installment payment
"Bank of China Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,280000,280000,1,1,Installment payment
Credit Card Center of China Minsheng Banking Corporation,Beijing,1,People's Republic of China (CN),1,280000,280000,0,2,One time payment
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,280000,280000,1,1,Installment payment
Jiangxi Federation of Rural Credit Cooperatives,Jiangxi Province,1,People's Republic of China (CN),1,280000,280000,1,1,Installment payment
Jiangsu Rural Credit Cooperatives Association,Jiangsu Province,1,People's Republic of China (CN),1,280000,280000,1,1,Installment payment
Yangzhou Urban Rural Credit Cooperative Association,Jiangsu Province,1,People's Republic of China (CN),1,280000,280000,1,1,Installment payment
"Bank of Qingdao Co., Ltd.",Shandong Province,1,People's Republic of China (CN),1,281000,281000,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,288000,288000,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,289000,289000,1,1,Installment payment
"Zhengzhou Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,290000,290000,1,1,Installment payment
"China Construction Bank Co., Ltd. Shanxi Branch",Shanxi Province,1,People's Republic of China (CN),1,290000,290000,1,1,Installment payment
"Chongqing Rural Commercial Bank Co., Ltd.",Chongqing,1,People's Republic of China (CN),1,292000,292000,1,1,Installment payment
"China Construction Bank Co., Ltd. Jiangxi Branch",Jiangxi Province,1,People's Republic of China (CN),1,293000,293000,1,1,Installment payment
"Agricultural Bank of China Co., Ltd. Hebei Branch",Hebei Province,1,People's Republic of China (CN),1,293544.77,293544.77,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,330000,297000,1,1,Installment payment
Ningbo Yinzhou Rural Cooperative Bank,Zhejiang Province,1,People's Republic of China (CN),1,298000,298000,1,1,Installment payment
"China Construction Bank Co., Ltd. Shaanxi Provincial Branch",Shaanxi Province,1,People's Republic of China (CN),1,299000,299000,0,2,One time payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Huishang Bank,Shanxi Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Shenzhen Development Bank,Guangdong Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Shanghai Rural Commercial Bank,Shanghai,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Lanzhou Bank Co., Ltd.",Gansu province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Jiangxi Federation of Rural Credit Cooperatives,Jiangxi Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Jiangsu Federation of Rural Credit Cooperatives,Jiangsu Province,1,People's Republic of China (CN),1,300000,300000,0,2,One time payment
Changshu Rural Commercial Bank,Jiangsu Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Hebei Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Yibin Commercial Bank Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Tianjin Commercial Bank,Tianjin City,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Beijing 3158 International Media Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Cangzhou Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Jinzhou Bank,Liaoning Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Jinzhou Bank,Liaoning Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Shangrao Commercial Bank,Jiangxi Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Zhejiang Chouzhou Commercial Bank,Zhejiang Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Jiaxing Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Tianjin Golett Electronics Co., Ltd.",Tianjin City,0,People's Republic of China (CN),1,300000,300000,1,3,commission payment
"Beijing Kuoda Building Decoration Engineering Co., Ltd.",Beijing,0,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Beijing Yaguang Decoration Engineering Co., Ltd.",Beijing,0,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Guangzhou OPPEIN Kitchen Cabinet Enterprise Co., Ltd.",Beijing,0,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Beijing Longfa Building Decoration Engineering Co., Ltd.",Beijing,0,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
Zhejiang Shaoxing County Rural Cooperative Bank,Zhejiang Province,1,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Beijing Rongyitong Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,300000,300000,1,1,Installment payment
"Tianjin Zhenxi Beauty Industrial Co., Ltd.",Tianjin City,0,People's Republic of China (CN),1,304688,304688,1,1,Installment payment
"Tianjin Hongze Ruixin Real Estate Development Co., Ltd.",Tianjin City,0,People's Republic of China (CN),1,306000,306000,1,1,Installment payment
"Nanjing Boken Enterprise Planning Consulting Co., Ltd.",Jiangsu Province,0,People's Republic of China (CN),1,307550,307550,1,1,Installment payment
