time,amount,internalization,outsourcing,if the sitting date time after 2006,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
245d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,280000,280000,1,1,Installment payment,no,no,no
1156d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,281000,281000,1,1,Installment payment,no,no,no
365d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,288000,288000,1,1,Installment payment,no,no,no
364d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,289000,289000,1,1,Installment payment,no,no,no
1135d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,290000,290000,1,1,Installment payment,no,no,no
365d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,290000,290000,1,1,Installment payment,no,no,no
364d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,292000,292000,1,1,Installment payment,no,no,no
365d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,293000,293000,1,1,Installment payment,no,no,no
378d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,293544.77,293544.77,1,1,Installment payment,no,no,no
365d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,330000,297000,1,1,Installment payment,no,no,no
30d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,298000,298000,1,1,Installment payment,no,no,no
365d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,299000,299000,0,2,One time payment,no,no,no
62d,54,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
480d,30,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
365d,30,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,300000,300000,1,1,Installment payment,no,no,no
364d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,300000,300000,1,1,Installment payment,no,no,no
364d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,300000,300000,1,1,Installment payment,no,no,no
30d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
365d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
365d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
244d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,300000,300000,0,2,One time payment,no,no,no
364d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,300000,300000,1,1,Installment payment,no,no,no
483d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
1096d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
370d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
364d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,300000,300000,1,1,Installment payment,no,no,no
1095d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,300000,300000,1,1,Installment payment,no,no,no
96d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
413d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
365d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,300000,300000,1,1,Installment payment,no,no,no
525d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
2814d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,technical secrets,0,0,1,3,Transfer of technical secrets,Promote industrial development,300000,300000,1,3,commission payment,no,no,no
312d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,300000,300000,1,1,Installment payment,no,no,no
339d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,300000,300000,1,1,Installment payment,no,no,no
131d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,300000,300000,1,1,Installment payment,no,no,no
333d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,300000,300000,1,1,Installment payment,no,no,no
784d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
516d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,300000,300000,1,1,Installment payment,no,no,no
3653d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,0,0,1,3,Computer software copyright transfer,social development and social services,304688,304688,1,1,Installment payment,no,no,no
75d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,306000,306000,1,1,Installment payment,no,no,no
244d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,307550,307550,1,1,Installment payment,no,no,no
365d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,312000,312000,1,1,Installment payment,no,no,no
365d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,315000,315000,1,1,Installment payment,no,no,no
516d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,319059,319059,1,3,commission payment,no,no,no
364d,30,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,320000,320000,1,1,Installment payment,no,no,no
364d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,320000,320000,1,1,Installment payment,no,no,no
459d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,320000,320000,1,1,Installment payment,no,no,no
452d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,320000,320000,1,1,Installment payment,no,no,no
416d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,320000,320000,1,1,Installment payment,no,no,no
190d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,320000,320000,1,1,Installment payment,no,no,no
428d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,320000,320000,1,1,Installment payment,no,no,no
152d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,320000,320000,1,1,Installment payment,no,no,no
434d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,320000,320000,1,1,Installment payment,no,no,no
91d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,320000,320000,0,2,One time payment,no,no,no
470d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,322000,322000,1,1,Installment payment,no,no,no
221d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,322500,322500,1,1,Installment payment,no,no,no
152d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,communication technology,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,infrastructure development,325000,325000,1,1,Installment payment,no,no,no
731d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,Urban Construction,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,326250,326250,1,1,Installment payment,no,no,no
364d,9,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,330000,330000,1,1,Installment payment,no,no,no
399d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,330000,330000,1,1,Installment payment,no,no,no
